"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.09030232997282e-07,14,476,6.34877913429523,"Path:hsa05022 Pathways of neurodegeneration-multiple diseases","http://www.genome.jp/kegg-bin/show_pathway?hsa05022 "," CTNNB1  GNAQ  GRIN2A  IL6  PDYN  PLCB3  PRKCA  PRKCB  MAPK8  PTGS2  RELA  TRAF2  UBC  CASP3"
1.1746809537189e-07,9,156,12.4533744557329,"Path:hsa04218 Cellular senescence","http://www.genome.jp/kegg-bin/show_pathway?hsa04218 "," FOXO1  FOXO3  SIRT1  IL6  ATM  PIK3R1  PPP1CA  RELA  TP53"
1.55393674748601e-07,7,76,19.8817030784508,"Path:hsa04971 Gastric acid secretion","http://www.genome.jp/kegg-bin/show_pathway?hsa04971 "," GNAQ  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  ACTB"
2.29226490856251e-07,8,121,14.2716357399033,"Path:hsa04152 AMPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04152 "," CREB1  FOXO1  FOXO3  SIRT1  GYS2  PRKAG2  PIK3R1  PRKAG3"
2.29226490856251e-07,9,169,11.4954225745227,"Path:hsa04530 Tight junction","http://www.genome.jp/kegg-bin/show_pathway?hsa04530 "," ERBB2  ITGB1  JUN  PRKAG2  PRKAG3  PRKACB  PRKACG  MAPK8  ACTB"
3.57322288527111e-07,7,86,17.5698771390961,"Path:hsa04911 Insulin secretion","http://www.genome.jp/kegg-bin/show_pathway?hsa04911 "," CREB1  GNAQ  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB"
3.64614014310624e-07,9,179,10.8532201960578,"Path:hsa05152 Tuberculosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05152 "," CREB1  CREBBP  EP300  IL6  JAK1  JAK2  MAPK8  RELA  CASP3"
3.87704225981607e-07,6,53,24.436810252759,"Path:hsa04961 Endocrine and other factor-regulated calcium reabsorption","http://www.genome.jp/kegg-bin/show_pathway?hsa04961 "," GNAQ  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB"
4.07452435425581e-07,7,88,17.1705617495712,"Path:hsa04540 Gap junction","http://www.genome.jp/kegg-bin/show_pathway?hsa04540 "," EGFR  GNAQ  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB"
4.28091305112232e-07,9,183,10.6159913393133,"Path:hsa04621 NOD-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04621 "," NLRP3  IL6  JAK1  JUN  PLCB3  MAPK8  RELA  TRAF2  BRCC3"
5.43843038028687e-07,7,92,16.4240155865463,"Path:hsa05222 Small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05222 "," ITGB1  PIK3R1  PTGS2  RELA  TP53  TRAF2  CASP3"
5.62641580311831e-07,10,249,8.66901568538304,"Path:hsa05132 Salmonella infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05132 "," NLRP3  CTNNB1  FOS  IL6  JUN  MAPK8  RELA  ACTB  TRAF2  CASP3"
6.41175769445789e-07,6,58,22.3301886792453,"Path:hsa05213 Endometrial cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05213 "," CTNNB1  EGFR  ERBB2  FOXO3  PIK3R1  TP53"
6.48546856030334e-07,9,193,10.0659399745821,"Path:hsa05202 Transcriptional misregulation in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05202 "," FOXO1  IL6  MEN1  KMT2A  ATM  RELA  TP53  H3C8  RUNX2"
8.1032920421257e-07,7,98,15.4184636118598,"Path:hsa05231 Choline metabolism in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05231 "," EGFR  FOS  JUN  PIK3R1  PRKCA  PRKCB  MAPK8"
9.79891085245309e-07,8,148,11.6680265170831,"Path:hsa04723 Retrograde endocannabinoid signaling","http://www.genome.jp/kegg-bin/show_pathway?hsa04723 "," GNAQ  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  PTGS2"
