"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.71849451717869e-13,13,119,23.1444911297852,"Path:hsa04722 Neurotrophin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04722 "," ABL1  JUN  NFKB1  NRAS  PIK3R1  PLCG1  MAPK8  BAX  RAP1A  SHC1  TP53  TP73  CAMK2A"
2.04521723588608e-13,13,121,22.7619375573921,"Path:hsa04919 Thyroid hormone signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04919 "," CREBBP  CTNNB1  EP300  FOXO1  MTOR  NRAS  PLCE1  PIK3R1  PLCG1  PRKCA  PRKCG  ACTB  TP53"
2.24143233672809e-13,16,235,14.4245862884161,"Path:hsa04014 Ras signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04014 "," EGFR  ABL1  GNB1  GRIN2A  AFDN  NFKB1  NRAS  PLCE1  PIK3R1  PLCG1  PRKCA  PRKCG  MAPK8  RAP1A  SHC1  STK4"
3.5415129473651e-13,12,97,26.2096219931271,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 "," CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  MTOR  GSTP1  NFKB1  NRAS  PIK3R1  TP53"
3.8168567063998e-13,15,202,15.7322607260726,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," CREB1  CREBBP  EP300  JAK1  JUN  NFKB1  NRAS  PIK3R1  BAX  STAT3  TP53  TRAF2  YWHAG  CASP3  H4C6"
3.8168567063998e-13,15,202,15.7322607260726,"Path:hsa05205 Proteoglycans in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05205 "," CTNNB1  EGFR  MTOR  NRAS  PLCE1  PIK3R1  PLCG1  PPP1CA  PRKCA  PRKCG  ACTB  STAT3  TP53  CAMK2A  CASP3"
5.52933093413558e-13,11,75,31.072962962963,"Path:hsa05214 Glioma","http://www.genome.jp/kegg-bin/show_pathway?hsa05214 "," EGFR  MTOR  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  BAX  SHC1  TP53  CAMK2A"
6.28389024897003e-13,15,210,15.1329365079365,"Path:hsa05170 Human immunodeficiency virus 1 infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05170 "," MTOR  GNAQ  GNB1  JUN  ATM  NFKB1  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  MAPK8  BAX  TRAF2  CASP3"
8.73735144923284e-13,12,106,23.9842767295597,"Path:hsa04922 Glucagon signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04922 "," CREB1  CREBBP  EP300  FOXO1  SIRT1  GCG  GNAQ  GYS1  PRKAG2  PRKAG1  PYGB  CAMK2A"
6.04030825304236e-12,10,67,31.6210613598673,"Path:hsa04720 Long-term potentiation","http://www.genome.jp/kegg-bin/show_pathway?hsa04720 "," CREBBP  EP300  GNAQ  GRIN2A  NRAS  PPP1CA  PRKCA  PRKCG  RAP1A  CAMK2A"
7.64566310515446e-12,19,476,8.45664098972922,"Path:hsa05022 Pathways of neurodegeneration-multiple diseases","http://www.genome.jp/kegg-bin/show_pathway?hsa05022 "," CDK5  CTNNB1  MTOR  GNAQ  GRIN2A  IL6  NFKB1  NRAS  PDYN  PLCG1  PRKCA  PRKCG  MAPK8  PTGS2  BAX  TRAF2  UBC  CAMK2A  CASP3"
