Prot_A;Prot_B;Renew component
GEMIN6;SNRPE;Choline
GEMIN6;SMN1;Choline
GEMIN6;GEMIN4;Choline
GEMIN6;GEMIN8;Choline
GEMIN6;STRAP;Choline
GEMIN6;GEMIN5;Choline
GEMIN6;GEMIN2;Choline
GEMIN6;DDX20;Choline
GEMIN5;SMN2;Choline
GEMIN5;SNRPG;Choline
GEMIN5;SNRPE;Choline
GEMIN5;SNRPD2;Choline
GEMIN5;SNRPB;Choline
GEMIN5;SNRPD1;Choline
GEMIN5;SMN1;Choline
GEMIN5;STRAP;Choline
GEMIN5;GEMIN8;Choline
GEMIN5;GEMIN2;Choline
GEMIN5;DDX20;Choline
GEMIN5;GEMIN4;Choline
LSM11;HNRNPC;Choline
LSM11;SYNCRIP;Choline
LSM11;SMN1;Choline
LSM11;DDX20;Choline
LSM11;SNRPB;Choline
LSM11;SNRPG;Choline
LSM11;SNRPE;Choline
LSM11;LSM10;Choline
KPNB1;SNUPN;Choline
SNRPD1;GEMIN4;Choline
SNRPD1;GEMIN8;Choline
SNRPD1;STRAP;Choline
SNRPD1;DDX20;Choline
SNRPD1;PRMT5;Choline
SNRPD1;SMN2;Choline
SNRPD1;LSM4;Choline
SNRPD1;SNRPB;Choline
SNRPD1;SNRPE;Choline
SNRPD1;GEMIN2;Choline
SNRPD1;SNRNP70;Choline
SNRPD1;CLNS1A;Choline
SNRPD1;SNRPD2;Choline
SNRPD1;SMN1;Choline
SNRPD1;SNRPG;Choline
GEMIN2;SNRNP70;Choline
GEMIN2;SNRPB;Choline
GEMIN2;SNRPG;Choline
GEMIN2;SNRPE;Choline
GEMIN2;SMN2;Choline
GEMIN2;STRAP;Choline
GEMIN2;SNRPD2;Choline
GEMIN2;DDX20;Choline
GEMIN2;SMN1;Choline
GEMIN2;GEMIN4;Choline
GEMIN2;GEMIN8;Choline
PRMT5;LSM4;Choline
PRMT5;SNRPG;Choline
PRMT5;SNRPD2;Choline
PRMT5;SNRPE;Choline
PRMT5;SNRPB;Choline
