Prot_A;Prot_B;Condition
RPS27A;RPL36;cell_growth
RPS27A;RPL13;cell_growth
RPS27A;RACK1;cell_growth
RPS27A;RPL15;cell_growth
RPS27A;RPSA;cell_growth
RPS27A;RPL23;cell_growth
RPS27A;RPS19;cell_growth
RPS27A;RPS18;cell_growth
RPS27A;RPL34;cell_growth
RPS27A;RPS16;cell_growth
RPS27A;RPL5;cell_growth
RPS27A;RPL30;cell_growth
RPS27A;RPS17;cell_growth
RPS27A;RPS28;cell_growth
RPS27A;RPS5;cell_growth
RPS27A;RPL4;cell_growth
RPS27A;RPS4X;cell_growth
RPS27A;RPS7;cell_growth
RPS27A;RPL17;cell_growth
RPS27A;RPL23A;cell_growth
RPS27A;RPS20;cell_growth
RPS27A;RPS25;cell_growth
RPS27A;RPL26;cell_growth
RPS27A;UBA52;cell_growth
RPS27A;RPS6;cell_growth
RPS27A;RPL37A;cell_growth
RPS27A;RPL24;cell_growth
RPS27A;RPS8;cell_growth
RPS27A;RPS15;cell_growth
RPS27A;RPS2;cell_growth
RPS27A;RPL35A;cell_growth
RPS27A;RPL37;cell_growth
RPS27A;RPL31;cell_growth
RPS27A;RPS27;cell_growth
RPS27A;RPS26;cell_growth
RPS27A;RPS29;cell_growth
RPS27A;RPL14;cell_growth
RPS27A;RPL21;cell_growth
RPS27A;RPS15A;cell_growth
RPS27A;RPS14;cell_growth
RPS27A;RPL12;cell_growth
RPS27A;RPS23;cell_growth
RPS27A;RPL13A;cell_growth
RPS27A;RPL38;cell_growth
RPS27A;RPS9;cell_growth
RPS27A;RPL32;cell_growth
RPS27A;RPLP0;cell_growth
RPS27A;RPL27;cell_growth
RPS27A;RPL29;cell_growth
RPS27A;FAU;cell_growth
RPS27A;RPL36A;cell_growth
RPS27A;RPS3;cell_growth
RPS27A;RPS3A;cell_growth
RPS27A;RPS13;cell_growth
RPL37;RRP1;cell_growth
RPL37;RRP1B;cell_growth
RPL37;GNL3;cell_growth
RPL37;TMA16;cell_growth
RPL37;LYAR;cell_growth
RPL37;NOC2L;cell_growth
RPL37;RPF1;cell_growth
RPL37;NIFK;cell_growth
RPL37;EBNA1BP2;cell_growth
RPL37;RSL1D1;cell_growth
RPL37;EEF1A1;cell_growth
RPL37;RPL10L;cell_growth
RPL37;PA2G4;cell_growth
RPL37;RPS4X;cell_growth
RPL37;RPL10A;cell_growth
RPL37;RPS10;cell_growth
RPL37;RPL17;cell_growth
RPL37;RPL3;cell_growth
RPL37;RPL22;cell_growth
RPL37;RPLP0;cell_growth
RPL37;RPL39;cell_growth
RPL37;RPS15A;cell_growth
RPL37;RPL14;cell_growth
RPL37;RPL21;cell_growth
RPL37;RPS29;cell_growth
RPL37;RPS26;cell_growth
RPL37;RPL31;cell_growth
