Prot_A;Prot_B
RPS27A;RPL11
RPS27A;RPL27A
RPS27A;RPS10
RPS27A;RPL7A
RPS27A;RPL6
RPS27A;RPL36
RPS27A;RPL13
RPS27A;RACK1
RPS27A;RPL15
RPS27A;RPSA
RPS27A;RPL23
RPS27A;RPS19
RPS27A;RPS18
RPS27A;RPL34
RPS27A;RPS16
RPS27A;RPL5
RPS27A;RPL30
RPS27A;RPS17
RPS27A;RPS28
RPS27A;RPS5
RPS27A;RPL4
RPS27A;RPS4X
RPS27A;RPS7
RPS27A;RPL17
RPS27A;RPL23A
RPS27A;RPS20
RPS27A;RPS25
RPS27A;RPL26
RPS27A;UBA52
RPS27A;RPS6
RPS27A;RPL37A
RPS27A;RPL24
RPS27A;RPS8
RPS27A;RPS15
RPS27A;RPS2
RPS27A;RPL35A
RPS27A;RPL37
RPS27A;RPL31
RPS27A;RPS27
RPS27A;RPS26
RPS27A;RPS29
RPS27A;RPL14
RPS27A;RPL21
RPS27A;RPS15A
RPS27A;RPS14
RPS27A;RPL12
RPS27A;RPS23
RPS27A;RPL13A
RPS27A;RPL38
RPS27A;RPS9
RPS27A;RPL32
RPS27A;RPLP0
RPS27A;RPL27
RPS27A;RPL29
RPS27A;FAU
RPS27A;RPL36A
RPS27A;RPS3
RPS27A;RPS3A
RPS27A;RPS13
RPL37;RRP1
RPL37;RRP1B
RPL37;GNL3
RPL37;TMA16
RPL37;LYAR
RPL37;NOC2L
RPL37;RPF1
RPL37;NIFK
RPL37;EBNA1BP2
RPL37;RSL1D1
RPL37;EEF1A1
RPL37;RPL10L
RPL37;PA2G4
RPL37;RPS4X
RPL37;RPL10A
RPL37;RPS10
RPL37;RPL17
RPL37;RPL3
RPL37;RPL22
RPL37;RPLP0
RPL37;RPL39
RPL37;RPS15A
RPL37;RPL14
RPL37;RPL21
RPL37;RPS29
RPL37;RPS26
RPL37;RPL31
RPL37;RPS27
RPL37;RPL28
RPL37;RPL35A
RPL37;RPS3A
RPL37;RPS13
RPL37;RPS3
RPL37;RPL27
RPL37;RPL29
RPL37;FAU
RPL37;RPL36A
RPL37;RPL32
RPL37;RPS9
RPL37;RPS23
RPL37;RPL13A
RPL37;RPL38
RPL37;RPS14
RPL37;RPL12
RPL37;RPS18
RPL37;RPL34
RPL37;RPS16
RPL37;RPL5
RPL37;RPL23
RPL37;RPS19
RPL37;RACK1
RPL37;RPL15
RPL37;RPSA
RPL37;RPL13
RPL37;RPL27A
RPL37;RPL7A
RPL37;RPL6
RPL37;RPL36
RPL37;RPS24
RPL37;RPL11
RPL37;RPL7
RPL37;RPS21
RPL37;RPL9
RPL37;RPL18
RPL37;RPL37A
RPL37;RPL24
RPL37;RPS8
RPL37;RPS15
RPL37;RPS2
RPL37;RPL26
RPL37;UBA52
RPL37;RPS6
RPL37;RPS25
RPL37;RPL23A
RPL37;RPS20
RPL37;RPL4
RPL37;RPS7
RPL37;RPS28
RPL37;RPS5
RPL37;RPL30
RPL37;RPS17
NHP2;FAU
NHP2;NOP10
RPS3;LYAR
RPS3;PA2G4
RPS3;RPL36A
RPS3;EEF1A1
RPS3;RPL10L
RPS3;RPL22
RPS3;RPL39
RPS3;RPS6
RPS3;UBA52
RPS3;RPL26
RPS3;RPL24
RPS3;RPL37A
RPS3;RPS2
RPS3;RPS15
RPS3;RPS8
RPS3;RPL23A
RPS3;RPL17
RPS3;RPS20
RPS3;RPL10A
RPS3;RPS25
RPS3;RPS28
RPS3;RPS5
RPS3;RPS7
RPS3;RPS4X
RPS3;RPL4
RPS3;RPS17
RPS3;RPL30
RPS3;RPL34
RPS3;RPS18
RPS3;RPL5
RPS3;RPS16
RPS3;RPSA
RPS3;RPL15
RPS3;RACK1
RPS3;RPS19
RPS3;RPL23
RPS3;RPL7A
RPS3;RPS10
RPS3;RPL27A
RPS3;RPL36
RPS3;RPL6
RPS3;RPL13
RPS3;RPL7
RPS3;RPL18
RPS3;RPL9
RPS3;RPS21
RPS3;RPS24
RPS3;RPL11
RPS3;RPS13
RPS3;RPS3A
RPS3;RPLP0
RPS3;RPL32
RPS3;RPL29
RPS3;RPL27
RPS3;FAU
RPS3;RPS23
RPS3;RPL38
RPS3;RPL13A
RPS3;RPS9
RPS3;RPS15A
RPS3;RPS14
RPS3;RPL12
RPS3;RPS29
RPS3;RPL14
RPS3;RPL21
RPS3;RPS26
RPS3;RPL35A
RPS3;RPL31
RPS3;RPL3
RPS3;RPL28
RPS3;RPS27
NIFK;RPL13A
NIFK;RPL39
NIFK;RPL11
NIFK;RPL22
NIFK;RPL26
NIFK;RPL17
NIFK;RPL3
NIFK;RPL21
NIFK;RPL32
NIFK;RPL34
NIFK;RPL9
NIFK;RPL15
NIFK;RPL5
NIFK;RPL35A
NIFK;RPL36
NIFK;RPL27
NIFK;RPL6
NIFK;RPLP0
NIFK;RPL13
NIFK;RPL18
NIFK;RPL14
NIFK;RPL4
NIFK;RPL38
NIFK;RPL27A
NIFK;RPL23
NIFK;RPL7
NIFK;RPL30
NIFK;RPL31
NIFK;RPL7A
NIFK;RPL23A
NIFK;SDAD1
NIFK;RRP1
NIFK;SURF6
NIFK;PA2G4
NIFK;RRP1B
NIFK;GNL3
NIFK;NOC2L
NIFK;RPF1
NIFK;RSL1D1
NIFK;RRS1
NIFK;EBNA1BP2
RPL29;TMA16
RPL29;LYAR
RPL29;EEF1A1
RPL29;PA2G4
RPL29;RPL10L
RPL29;RPL36A
RPL29;RPL10A
RPL29;RPL17
RPL29;RPS4X
RPL29;RPL39
RPL29;RPS15A
RPL29;RPS16
RPL29;RPL5
RPL29;RPL34
RPL29;RPS18
RPL29;RPL23
RPL29;RPS19
RPL29;RPL15
RPL29;RACK1
RPL29;RPSA
RPL29;RPL13
RPL29;RPL6
RPL29;RPL36
RPL29;RPS10
RPL29;RPL27A
RPL29;RPL7A
RPL29;RPS24
RPL29;RPL11
RPL29;RPS21
RPL29;RPL18
RPL29;RPL9
RPL29;RPL7
RPL29;RPS8
RPL29;RPS2
RPL29;RPS15
RPL29;RPL24
RPL29;RPL37A
RPL29;RPS6
RPL29;UBA52
RPL29;RPL26
RPL29;RPS25
RPL29;RPS20
RPL29;RPL23A
RPL29;RPL4
RPL29;RPS7
RPL29;RPS5
RPL29;RPS28
RPL29;RPL30
RPL29;RPS17
RPL29;RPL21
RPL29;RPL14
RPL29;RPS29
RPL29;RPS26
RPL29;RPL28
RPL29;RPS27
RPL29;RPL3
RPL29;RPL31
RPL29;RPL35A
RPL29;RPS3A
RPL29;RPS13
RPL29;FAU
RPL29;RPL22
RPL29;RPL27
RPL29;RPL32
RPL29;RPLP0
RPL29;RPS9
RPL29;RPL38
RPL29;RPL13A
RPL29;RPS23
RPL29;RPL12
RPL29;RPS14
RPS23;LYAR
RPS23;PA2G4
RPS23;RSL1D1
RPS23;BUD23
RPS23;WDR43
RPS23;RRP7A
RPS23;EEF1A1
RPS23;RPL10L
RPS23;RPS19
RPS23;RPL23
RPS23;RPSA
RPS23;RACK1
RPS23;RPL15
RPS23;RPL34
RPS23;RPS18
RPS23;RPL5
RPS23;RPS16
RPS23;RPS24
RPS23;RPL11
RPS23;RPL7
RPS23;RPL9
RPS23;RPL18
RPS23;RPS21
RPS23;RPL13
RPS23;RPL7A
RPS23;RPL27A
RPS23;RPS10
RPS23;RPL36
RPS23;RPL6
RPS23;RPL10A
RPS23;RPS25
RPS23;RPL23A
RPS23;RPL17
RPS23;RPS20
RPS23;RPL24
RPS23;RPL37A
RPS23;RPS15
RPS23;RPS2
RPS23;RPS8
RPS23;UBA52
RPS23;RPS6
RPS23;RPL26
RPS23;RPS17
RPS23;RPL30
RPS23;RPS4X
RPS23;RPS7
RPS23;RPL4
RPS23;RPS28
RPS23;RPS5
RPS23;RPS26
RPS23;RPL14
RPS23;RPL21
RPS23;RPS29
RPS23;RPL31
RPS23;RPL3
RPS23;RPL28
RPS23;RPS27
RPS23;RPL35A
RPS23;RPL22
RPS23;RPL27
RPS23;RPL36A
RPS23;FAU
RPS23;RPLP0
RPS23;RPL32
RPS23;RPS13
RPS23;RPS3A
RPS23;RPS14
RPS23;RPL12
RPS23;RPS15A
RPS23;RPS9
RPS23;RPL38
RPS23;RPL39
RPS23;RPL13A
RPL10L;LYAR
RPL10L;EEF1A1
RPL10L;RPS15A
RPL10L;RPL36A
RPL10L;RPS27
RPL10L;RPS4X
RPL10L;RPL22
RPL10L;RPL26
RPL10L;RPL17
RPL10L;RPL39
RPL10L;PA2G4
RPL10L;RPS28
RPL10L;RPS10
RPL10L;RPS14
RPL10L;RPL34
RPL10L;RPL7
RPL10L;RPS21
RPL10L;RPS24
RPL10L;RPS29
RPL10L;RPL31
RPL10L;RPL28
RPL10L;RPL32
RPL10L;RPL12
RPL10L;RPL23A
RPL10L;RPS20
RPL10L;UBA52
RPL10L;RPL37A
RPL10L;RPS26
RPL10L;RPL35A
RPL10L;RPL10A
RPL10L;RPS17
RPL10L;RPS5
RPL10L;RPL4
RPL10L;RPS19
RPL10L;RPS18
RPL10L;RPS16
RPL10L;RPL6
RPL10L;RPL36
RPL10L;RPL13
RPL10L;RPL27
RPL10L;RPL13A
RPL10L;RPS9
RPL10L;RPL14
RPL10L;RPS25
RPL10L;RPS6
RPL10L;RPS15
RPL10L;RPL23
RPL10L;RPL38
RPL10L;RPL21
RPL10L;RPL3
RPL10L;RPL24
RPL10L;RPS8
RPL10L;RPS2
RPL10L;RPL30
RPL10L;RPS7
RPL10L;RPL15
RPL10L;RPSA
RPL10L;RPL5
RPL10L;RPL18
RPL10L;RPL9
RPL10L;RPL11
RPL10L;RPL27A
RPL10L;RPL7A
RPL10L;RPLP0
RPL10L;FAU
RPL10L;RPS3A
RPL10L;RPS13
RPL10L;RACK1
PA2G4;RPS17
PA2G4;LYAR
PA2G4;RRS1
PA2G4;RPS10
PA2G4;RPS7
PA2G4;EEF1A1
PA2G4;FAU
PA2G4;RPS25
PA2G4;RPS27
PA2G4;RPS24
PA2G4;RPS21
PA2G4;RPS28
PA2G4;RPS6
PA2G4;RPS19
PA2G4;RPS26
PA2G4;RPS4X
PA2G4;RPS15A
PA2G4;RPS3A
PA2G4;RPS8
PA2G4;RPS13
PA2G4;RPS29
PA2G4;RPS14
PA2G4;RACK1
PA2G4;RPS5
PA2G4;RPL10A
PA2G4;UBA52
PA2G4;GNL3
PA2G4;RPL36A
PA2G4;RPS20
PA2G4;RPS15
PA2G4;RPS9
PA2G4;RPS18
PA2G4;RPSA
PA2G4;RPS2
PA2G4;RPL12
PA2G4;RPS16
PA2G4;RPL22
PA2G4;SDAD1
PA2G4;RPL28
PA2G4;RPL39
PA2G4;RPL31
PA2G4;RSL1D1
PA2G4;RPL27A
PA2G4;RPL17
PA2G4;RPL32
PA2G4;RPL36
PA2G4;RPL37A
PA2G4;RPL34
PA2G4;RPL35A
PA2G4;RPL13A
PA2G4;RPL13
PA2G4;RPL14
PA2G4;RPL7
PA2G4;RPL6
PA2G4;RPL24
PA2G4;RPL21
PA2G4;RPL15
PA2G4;RPL30
PA2G4;RPL3
PA2G4;RPL38
PA2G4;RPL9
PA2G4;RPL18
PA2G4;RPL7A
PA2G4;RPL23
PA2G4;RPL27
PA2G4;RPL11
PA2G4;RPL26
PA2G4;RPLP0
PA2G4;RPL5
PA2G4;RPL4
PA2G4;RPL23A
RPL13;RRP1
RPL13;TMA16
RPL13;GNL3
RPL13;LYAR
RPL13;RRP1B
RPL13;RSL1D1
RPL13;EBNA1BP2
RPL13;RPF1
RPL13;NOC2L
RPL13;EEF1A1
RPL13;RPL36A
RPL13;RPL39
RPL13;RPS15A
RPL13;RPL11
RPL13;RPS24
RPL13;RPL9
RPL13;RPL18
RPL13;RPS21
RPL13;RPL7
RPL13;RPL36
RPL13;RPL6
RPL13;RPL7A
RPL13;RPL27A
RPL13;RPS10
RPL13;RPS19
RPL13;RPL23
RPL13;RPSA
RPL13;RACK1
RPL13;RPL15
RPL13;RPL5
