Path,Path_Length,Edge,Edge_Label,Prot_A,Prot_B
ALDH1A1 -> EPHX2 -> PRKAG2 -> PRKACA -> GRIN2A,5,PRKACA (interacts with) PRKAG2,Second_Neighbor_Third,PRKACA,PRKAG2
HDAC6 -> EP300 -> PARP1,3,PARP1 (interacts with) EP300,First_Neighbor_Second,PARP1,EP300
MEN1 -> CTNNB1 -> PRKACA -> GRIN2A,4,PRKACA (interacts with) CTNNB1,First_Neighbor_Second,PRKACA,CTNNB1
TSHR -> IGHV3-16 -> TNF,3,TNF (interacts with) IGHV3-16,First_Neighbor_Second,TNF,IGHV3-16
MEN1 -> CTNNB1 -> EP300,3,EP300 (interacts with) CTNNB1,First_Neighbor_Second,EP300,CTNNB1
MEN1 -> CTNNB1 -> EGFR -> STAT3 -> PTGS2,5,EGFR (interacts with) CTNNB1,First_Neighbor_Second,EGFR,CTNNB1
MEN1 -> CTNNB1 -> EGFR -> STAT3 -> PTGS2,5,STAT3 (interacts with) EGFR,Second_Neighbor_Third,STAT3,EGFR
HDAC6 -> EP300 -> FOXO1 -> STK4,4,FOXO1 (interacts with) EP300,First_Neighbor_Second,FOXO1,EP300
ABL1 -> CDK5 -> JUN -> TNF,4,CDK5 (interacts with) ABL1,Input_First_Neighbor,CDK5,ABL1
SRR -> AGXT -> GLYCTK -> PKM -> PRKACA -> GRIN2A,6,GLYCTK (interacts with) AGXT,First_Neighbor_Second,GLYCTK,AGXT
SRR -> AGXT -> GLYCTK -> PKM -> PRKACA -> GRIN2A,6,PKM (interacts with) GLYCTK,Second_Neighbor_Third,PKM,GLYCTK
SRR -> AGXT -> GLYCTK -> PKM -> PRKACA -> GRIN2A,6,PRKACA (interacts with) PKM,Third_Neighbor_Fourth,PRKACA,PKM
SRR -> SHMT1 -> DHFR -> CBR1 -> PTGES -> PTGS2,6,DHFR (interacts with) SHMT1,First_Neighbor_Second,DHFR,SHMT1
SRR -> SHMT1 -> DHFR -> CBR1 -> PTGES -> PTGS2,6,CBR1 (interacts with) DHFR,Second_Neighbor_Third,CBR1,DHFR
SRR -> PSPH -> CDIPT -> PLCE1 -> RAP1A -> PRKD1,6,CDIPT (interacts with) PSPH,First_Neighbor_Second,CDIPT,PSPH
SRR -> SHMT2 -> BABAM1 -> BRCA1 -> EP300 -> PARP1,6,BABAM1 (interacts with) SHMT2,First_Neighbor_Second,BABAM1,SHMT2
SRR -> SHMT2 -> BABAM1 -> BRCA1 -> EP300 -> PARP1,6,BRCA1 (interacts with) BABAM1,Second_Neighbor_Third,BRCA1,BABAM1
SRR -> SHMT2 -> BABAM1 -> BRCA1 -> EP300 -> PARP1,6,EP300 (interacts with) BRCA1,Third_Neighbor_Fourth,EP300,BRCA1
SRR -> PSPH -> NUDT12 -> SIRT1 -> NFKB1 -> IL6,6,NUDT12 (interacts with) PSPH,First_Neighbor_Second,NUDT12,PSPH
SRR -> PSPH -> NUDT12 -> SIRT1 -> NFKB1 -> IL6,6,SIRT1 (interacts with) NUDT12,Second_Neighbor_Third,SIRT1,NUDT12
SRR -> PSPH -> NUDT12 -> SIRT1 -> NFKB1 -> IL6,6,NFKB1 (interacts with) SIRT1,Third_Neighbor_Fourth,NFKB1,SIRT1
SRR -> AGXT -> GLYCTK -> GAPDH -> TRADD -> TNF,6,GAPDH (interacts with) GLYCTK,Second_Neighbor_Third,GAPDH,GLYCTK
SRR -> PSPH -> NUDT12 -> SIRT1 -> FOXO1 -> STK4,6,FOXO1 (interacts with) SIRT1,Third_Neighbor_Fourth,FOXO1,SIRT1
